39	68	33.5	-3	3	31.66	0	0	0.17	0	0
39	69	30	-5	5	33.05	0	0	1.96	0	0
39	70	25	-5	5	55.59	0	0	1.52	0	0
39	71	16.2	0	0	52.19	0	0	9.6	0	0
40	45	471600	-2400	2400	0	0	0	0	0	0
40	46	59400000	-360000	360000	0	0	0	0	0	0
40	47	6048000	-36000	36000	0	0	0	0	0	0
40	48	7205760000	-25920000	25920000	0	0	0	0	0	0
40	49	282276000	-432000	432000	0	0	0	0	0	0
40	50	999999999999	0	0	0	0	0	0	0	0
40	51	999999999999	0	0	0	0	0	0	0	0
40	52	999999999999	0	0	0	0	0	0	0	0
40	53	999999999999	0	0	0	0	0	0	0	0
40	54	999999999999	0	0	0	0	0	0	0	0
40	55	5532364800	-518400	518400	0	0	0	0	0	0
40	56	999999999999	0	0	0	0	0	0	0	0
40	57	60296400	-28800	28800	0	0	0	0	0	0
40	58	30700	-400	400	0	0	0	0	0	0
40	59	2100	-100	100	0	0	0	0	0	0
40	60	7100	-400	400	0	0	0	0	0	0
40	61	2300	-100	100	0	0	0	0	0	0
40	62	2900	-200	200	0	0	0	0	0	0
40	63	1320	-60	60	0	0	0	0	0	0
40	64	870	-30	30	0.01	0	0	0	0	0
40	65	670	-20	20	0.03	0	0	0	0	0
40	66	175	-7	7	0.71	0	0	0	0	0
40	67	150	-3	3	0.56	0	0	0	0	0
40	68	785	-2	2	1.45	0	0	0	0	0
40	69	56	-3	3	3.19	0	0	0	0	0
40	70	37	-9	17	6.78	0	0	0	0	0
40	71	62.8	0	0	11.09	0	0	1.36	0	0
40	72	46.3	0	0	27.21	0	0	0.3	0	0
41	47	870000	-6600	6600	0	0	0	0	0	0
41	48	7308000	-252000	252000	0	0	0	0	0	0
41	49	52560000	-1800000	1800000	0	0	0	0	0	0
41	50	999999999999	0	0	0	0	0	0	0	0
41	51	999999999999	0	0	0	0	0	0	0	0
41	52	999999999999	0	0	0	0	0	0	0	0
41	53	999999999999	0	0	0	0	0	0	0	0
41	54	3023222400	-518400	518400	0	0	0	0	0	0
41	55	84060000	-180000	180000	0	0	0	0	0	0
41	56	4326000	-42000	42000	0	0	0	0	0	0
41	57	2860	-60	60	0	0	0	0	0	0
41	58	15000	-200	200	0	0	0	0	0	0
41	59	1500	-200	200	0	0	0	0	0	0
41	60	7100	-300	300	0	0	0	0	0	0
41	61	4300	-400	400	0	0	0	0	0	0
41	62	1500	-200	200	0	0	0	0	0	0
41	63	4900	-300	300	0.006	-0.03	0.03	0	0	0
41	64	2950	-60	60	1.7	-0.9	0.9	0	0	0
41	65	1030	-30	30	4.5	-0.3	0.3	0	0	0
41	66	280	-20	20	6	-1.5	1.5	0	0	0
41	67	195	-6	6	6.2	-0.5	0.5	0	0	0
41	68	110	-6	6	31	-5	5	0	0	0
41	69	82	-2	2	40	-8	8	0	0	0
